,importance
V14,0.3503754
V10,0.16104145
V4,0.04400322
Amount_log,0.035371754
V12,0.031414956
V23,0.03136525
V21,0.027028609
V20,0.023592124
V8,0.023136558
V28,0.021727515
V11,0.020605292
V13,0.020419104
V2,0.019316008
V19,0.017632352
V25,0.017237294
V18,0.015738528
V3,0.015223038
V15,0.014858039
V22,0.013924024
V17,0.013468051
V27,0.013142697
V26,0.012517649
V16,0.011562962
V6,0.010427573
V7,0.00890889
Time_scaled,0.0080280565
V9,0.008000828
V1,0.0076578953
Amount_to_median_ratio,0.0022748327
V5,0.0
V24,0.0
High_amount_flag,0.0
Hour,0.0
Amount_scaled,0.0
