threshold,precision,recall,f1_score,alertas_gerados,fraudes_capturadas,falsos_positivos,fraudes_nao_capturadas
0.05,0.0391111111111111,0.8918918918918919,0.0749361339767243,3375,132,3243,16
0.1,0.1303030303030303,0.8716216216216216,0.226713532513181,990,129,861,19
0.15,0.2410546139359698,0.8648648648648649,0.3770250368188512,531,128,403,20
0.2,0.402555910543131,0.8513513513513513,0.5466377440347071,313,126,187,22
0.25,0.5228215767634855,0.8513513513513513,0.6478149100257069,241,126,115,22
0.3,0.6275510204081632,0.831081081081081,0.7151162790697675,196,123,73,25
0.35,0.6797752808988764,0.8175675675675675,0.7423312883435583,178,121,57,27
0.4,0.759493670886076,0.8108108108108109,0.7843137254901961,158,120,38,28
0.45,0.7748344370860927,0.7905405405405406,0.782608695652174,151,117,34,31
0.5,0.8297872340425532,0.7905405405405406,0.8096885813148789,141,117,24,31
0.55,0.8518518518518519,0.777027027027027,0.8127208480565371,135,115,20,33
0.6,0.872,0.7364864864864865,0.7985347985347986,125,109,16,39
0.65,0.8879310344827587,0.6959459459459459,0.7803030303030303,116,103,13,45
0.7,0.8859649122807017,0.6824324324324325,0.7709923664122137,114,101,13,47
0.75,0.9090909090909092,0.6756756756756757,0.7751937984496124,110,100,10,48
0.8,0.912621359223301,0.6351351351351351,0.749003984063745,103,94,9,54
0.85,0.9072164948453608,0.5945945945945946,0.7183673469387755,97,88,9,60
0.9,0.974025974025974,0.5067567567567568,0.6666666666666666,77,75,2,73
0.95,0.9846153846153848,0.4324324324324324,0.6009389671361502,65,64,1,84
